#,Product Name,Category,Size / Format,Competitor Retail (CAD),Stores Carrying,Demand Signal,Notes
,,,,,,
17,Ipamorelin,Muscle & Growth,10mg vial,$55–$80,2/4,Popular,Larger size
18,CJC-1295 / Ipamorelin Blend,Muscle & Growth,6mg vial (3+3),$72–$99,3/4,⭐,Popular combo stack
19,CJC-1295 / Ipamorelin Blend,Muscle & Growth,10mg vial (5+5),$89–$99,2/4,Popular,Larger blend
20,IGF-1 LR3,Muscle & Growth,1mg vial,$70–$75,2/4,Popular,Growth factor
21,HGH Fragment 176-191,Muscle & Growth,5mg vial,$74.99,1/4,Niche,Fat metabolism fragment
22,Tesamorelin,Muscle & Growth,2mg vial,$99,2/4,Popular,GHRH analog
23,Tesamorelin,Muscle & Growth,10mg vial,$95,1/4,Popular,Larger size — PeptidePro
24,Sermorelin,Muscle & Growth,10mg vial,$65,1/4,Medium,Classic GHRH — PeptidePro
25,Hexarelin,Muscle & Growth,5mg vial,$54.99,1/4,Medium,GH secretagogue — PeptideWarehouse
26,GHRP-6,Muscle & Growth,5mg vial,$65,1/4,Medium,Classic GHRP — Limitless
27,Testagen,Muscle & Growth,—,$175,1/4,Low,Bioregulator — Limitless only
,,,,,,
,=== WEIGHT MANAGEMENT ===,,,,,
28,Semaglutide,Weight Management,5mg vial,$75–$149,3/4,🔥 Trending,GLP-1 — massive demand
29,Semaglutide,Weight Management,10mg vial,$75–$125,2/4,🔥 Trending,Larger size — PeptidePro
30,Semaglutide,Weight Management,20mg vial,$125,1/4,Popular,Bulk size — PeptidePro
31,Tirzepatide,Weight Management,5mg vial,$60–$169,2/4,🔥 Trending,Dual GIP/GLP-1
32,Tirzepatide,Weight Management,10mg vial,$60–$100,2/4,🔥,Larger size
33,Tirzepatide,Weight Management,30mg vial,$150,1/4,Popular,Bulk — PeptidePro
34,Tirzepatide,Weight Management,60mg vial,$225,1/4,Popular,Max size — PeptidePro
35,Retatrutide,Weight Management,10mg vial,$95,3/4,🔥 Hottest New,Triple agonist — featured everywhere
36,Retatrutide,Weight Management,20mg vial,$160,2/4,🔥,Mid size
37,Retatrutide,Weight Management,30mg vial,$225,2/4,🔥,Bulk size — PeptidePro
38,AOD-9604,Weight Management,5mg vial,$69–$75,2/4,Popular,GH fragment for fat metabolism
39,MOTS-C,Weight Management,5mg vial,$55–$89,3/4,⭐,Mitochondrial metabolic peptide
40,MOTS-C,Weight Management,10mg vial,$55,2/4,Popular,Larger size
41,MOTS-C,Weight Management,40mg vial,$125,1/4,Popular,Bulk — PeptidePro
42,Cagrilintide,Weight Management,10mg vial,$100,1/4,Medium,Next-gen amylin analog
43,5-Amino-1MQ,Weight Management,capsules,$120,1/4,Medium,Fat metabolism — Limitless
44,GLP-3 R,Weight Management,—,$210,1/4,Medium,Newer compound — Limitless
,,,,,,
,=== ANTI-AGING & SKIN ===,,,,,
45,GHK-Cu,Anti-Aging & Skin,50mg vial,$40–$54,4/4,⭐ Best Seller,Core copper peptide
46,GHK-Cu,Anti-Aging & Skin,100mg vial,$50–$80,2/4,⭐,Larger size — PeptidePro
47,GHK Basic (non-copper),Anti-Aging & Skin,—,$56.99,1/4,Medium,Non-copper version — PeptideWarehouse
48,GHK-Cu Face Cream,Anti-Aging & Skin (Topical),30ml,$44.99,1/4,🔥 High Margin,Topical moisturizer — unique format
49,GHK-Cu Face Cream,Anti-Aging & Skin (Topical),60ml,$58.99,1/4,🔥 High Margin,Larger size
50,Epitalon,Anti-Aging & Skin,10mg vial,$44–$75,4/4,⭐,Telomerase activator
51,N-Acetyl Epitalon Amidate,Anti-Aging & Skin,10mg vial,$44.99,1/4,🔥 New,Upgraded bioavailable form
52,SNAP-8,Anti-Aging & Skin,100mg vial,$49.99,1/4,Niche,Wrinkle peptide
53,AHK-Cu Copper Peptide,Anti-Aging & Skin,50mg vial,$54.99,0/4,Unique,Hair/skin — no competitor carries
54,FOXO4-DRI,Anti-Aging & Skin,—,$240,1/4,Medium,Senolytic — Limitless
,,,,,,
,=== COGNITIVE & FOCUS ===,,,,,
55,Selank,Cognitive & Focus,5mg vial,$45–$50,3/4,⭐,Anxiolytic nootropic
56,Selank,Cognitive & Focus,10mg vial,$50–$90,2/4,Popular,Larger size
57,N-Acetyl Selank Amidate,Cognitive & Focus,5mg vial,$45.99,1/4,🔥 New,Upgraded form — more bioavailable
58,Semax,Cognitive & Focus,5mg vial,$50–$64,3/4,⭐,Neuroprotective nootropic
59,Semax,Cognitive & Focus,10mg vial,$50–$90,2/4,Popular,Larger size
60,N-Acetyl Semax Amidate,Cognitive & Focus,5mg vial,$67.99,1/4,🔥 New,Upgraded form — more bioavailable
61,Dihexa,Cognitive & Focus,10mg vial,$79.99,1/4,Niche,Neuroplasticity peptide
62,NAD+,Cognitive & Focus,500mg vial,$44–$250,3/4,⭐,Cellular energy / longevity crossover
63,DSIP (Delta Sleep Inducing),Cognitive / Sleep,10mg vial,$45–$55,2/4,Medium,Sleep peptide — PeptidePro + Limitless
64,Pinealon,Cognitive / Longevity,—,$69–$70,2/4,Medium,Brain bioregulator
65,PE-22-28,Cognitive & Focus,—,$120,1/4,Medium,Nootropic — Limitless
,,,,,,
,=== SEXUAL HEALTH ===,,,,,
66,PT-141 (Bremelanotide),Sexual Health,10mg vial,$45–$80,3/4,⭐ Popular,Melanocortin agonist
67,Kisspeptin-10,Sexual Health,5mg vial,$80–$84,2/4,Popular,GnRH signaling
68,Melanotan II,Sexual Health,10mg vial,$44–$65,1/4,Medium,Tanning + libido
69,Melanotan I,Sexual Health / Tanning,10mg vial,$65,1/4,Low,Tanning only — Limitless
70,GnRH (Triptorelin),Sexual Health,100mcg vial,$39.99,0/4,Unique,No competitor carries
71,Oxytocin,Sexual Health,—,$90,1/4,Low,Niche — Limitless only
,,,,,,
,=== IMMUNE SUPPORT ===,,,,,
72,Thymosin Alpha-1,Immune Support,5mg vial,$55–$79,2/4,⭐,Core immune peptide
73,Thymosin Alpha-1,Immune Support,10mg vial,$55–$130,2/4,Popular,Larger size
74,LL-37,Immune Support,5mg vial,$84–$94,1/4,Medium,Antimicrobial peptide
75,BPC-157 Oral,Immune Support,60 capsules (500mcg),$89.99,0/4,Unique,No competitor carries — differentiator
76,Lactoferrin,Immune Support,200mg vial,$64.99,0/4,Unique,No competitor carries — differentiator
77,VIP (Vasoactive Intestinal Peptide),Immune Support,—,$69.99,1/4,Medium,Gut/immune — PeptideWarehouse
,,,,,,
,=== LONGEVITY & MITOCHONDRIAL (NEW CATEGORY) ===,,,,,
78,SS-31 (Elamipretide),Longevity / Mitochondrial,10mg vial,$50–$64,3/4,🔥 Must Stock,Mitochondrial peptide — 3/4 carry
79,SS-31 (Elamipretide),Longevity / Mitochondrial,50mg vial,$150,1/4,Popular,Bulk — PeptidePro
80,Glutathione,Longevity / Immune,600mg vial,$50–$90,2/4,Popular,Staple antioxidant
,,,,,,
,=== ANCILLARIES ===,,,,,
81,Bacteriostatic Water,Ancillaries,10mL,$14–$15,4/4,⭐ Essential,Must-have reconstitution supply
82,Bacteriostatic Water,Ancillaries,30mL,$19–$30,2/4,Popular,Bigger size — higher margin
83,Reconstitution Solution,Ancillaries,—,$30,1/4,Low,Alternative to bact water
84,Insulin Syringes,Ancillaries,100-pack,$24.99,0/4,Unique,Convenience ancillary
85,Empty Sterile Vials,Ancillaries,10-pack,$19.99,0/4,Unique,Convenience ancillary
86,Alcohol Prep Pads,Ancillaries,box,$9–$12,0/4,Low,Easy upsell add-on
,,,,,,
,=== DELIVERY FORMATS TO ASK VENDOR ABOUT ===,,,,,
87,Nasal Spray Atomizer — BPC-157,Spray Format,5mg spray,$59–$69,1/4,High,PeptideWarehouse offers sprays
88,Nasal Spray Atomizer — Selank,Spray Format,5mg spray,$55,1/4,High,Popular cognitive spray
89,Nasal Spray Atomizer — Semax,Spray Format,5mg spray,$67,1/4,High,Popular cognitive spray
90,Nasal Spray Atomizer — KPV,Spray Format,5mg spray,$54,1/4,Medium,Gut/immune spray
91,Mannitol-Free Vial — BPC-157,Alt Format,5-10mg,$59–$99,1/4,Medium,PeptideWarehouse exclusive format
92,Mannitol-Free Vial — TB-500,Alt Format,5-10mg,$69,1/4,Medium,PeptideWarehouse exclusive format
